"subject" "variable" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
"1" "tbodyaccmeanx" 0.22159824394 0.261237565425532 0.278917629056604 0.277330758736842 0.289188320408163 0.255461689622641
"1" "tbodyaccmeany" -0.0405139534294 -0.00130828765170213 -0.0161375901037736 -0.0173838185273684 -0.00991850461020408 -0.0239531492643396
"1" "tbodyaccmeanz" -0.11320355358 -0.104544182255319 -0.110601817735849 -0.111148103547368 -0.107566190908163 -0.0973020020943396
"1" "tgravityaccmeanx" -0.24888179828 0.831509933404255 0.942952000377358 0.935223201473684 0.931874418979592 0.89335109754717
"1" "tgravityaccmeany" 0.70554977346 0.204411592680851 -0.272983832264151 -0.282165021263158 -0.266610338979592 -0.362153364339623
"1" "tgravityaccmeanz" 0.4458177198 0.332043702765957 0.0134905823226415 -0.068102864 -0.0621199585938775 -0.075402939754717
"1" "tbodyaccjerkmeanx" 0.0810865342 0.0774825199574468 0.0753766542264151 0.0740416333157895 0.0541553164897959 0.101372729922642
"1" "tbodyaccjerkmeany" 0.0038382040088 -0.000619102785106384 0.00797573092830189 0.0282721095884211 0.0296504490408163 0.0194863076188679
"1" "tbodyaccjerkmeanz" 0.010834236361 -0.00336779235021277 -0.00368524954709434 -0.00416840617789474 -0.0109719730183673 -0.0455625449113208
"1" "tbodygyromeanx" -0.016553093978 -0.045350056512766 -0.0239877347979245 -0.041830963526 -0.0350781902989796 0.050549379754717
"1" "tbodygyromeany" -0.064486124088 -0.0919241549361702 -0.0593972209811321 -0.0695300462115789 -0.0909371290204082 -0.166170015088679
"1" "tbodygyromeanz" 0.14868943626 0.0629313811914894 0.074800751 0.0849448173042105 0.0900850142030612 0.0583595463981132
"1" "tbodygyrojerkmeanx" -0.107270949192 -0.0936793807234043 -0.0996092129056604 -0.0899975423705263 -0.0739592036271429 -0.122232768011321
"1" "tbodygyrojerkmeany" -0.04151728689 -0.0402118124255319 -0.0440627877924528 -0.0398428709463158 -0.0439902783367347 -0.0421485884509434
"1" "tbodygyrojerkmeanz" -0.0740501211 -0.046702627 -0.0489505466716981 -0.0461309295021053 -0.0270461061061224 -0.0407125527654717
"1" "tbodyaccmagmean" -0.8419291525 -0.948536786170213 -0.984278207358491 -0.136971176556842 0.0271882914106122 -0.129927630735849
"1" "tgravityaccmagmean" -0.8419291525 -0.948536786170213 -0.984278207358491 -0.136971176556842 0.0271882914106122 -0.129927630735849
"1" "tbodyaccjerkmagmean" -0.9543962646 -0.987364195531915 -0.992367790566038 -0.141428809031579 -0.0894474807979592 -0.466503446226415
"1" "tbodygyromagmean" -0.874759548 -0.93089249 -0.976493792830189 -0.160979552536842 -0.0757412543673469 -0.126735589969811
"1" "tbodygyrojerkmagmean" -0.96346103 -0.991976341276596 -0.994966790566038 -0.298703679084211 -0.295463843346939 -0.59488286509434
"1" "fbodyaccmeanx" -0.9390990524 -0.979641238723404 -0.995249932641509 -0.202794306326316 0.0382291831510204 -0.404321784150943
"1" "fbodyaccmeany" -0.86706520518 -0.944084550425532 -0.977070847735849 0.0897127264021053 0.00154990783591837 -0.190976720811321
"1" "fbodyaccmeanz" -0.8826668762 -0.959184889148936 -0.985297098679245 -0.331560117789474 -0.225574471693878 -0.433349702075472
"1" "fbodyaccjerkmeanx" -0.9570738838 -0.986597022553191 -0.994630797358491 -0.170546964549579 -0.0276638676122449 -0.479875245660377
"1" "fbodyaccjerkmeany" -0.9224626098 -0.981579467021277 -0.985418704528302 -0.0352255241130632 -0.12866715764898 -0.41344458754717
"1" "fbodyaccjerkmeanz" -0.9480609042 -0.986053092340425 -0.990752166037736 -0.468999224631579 -0.288334735714286 -0.685474353962264
"1" "fbodygyromeanx" -0.850249174586 -0.976161464042553 -0.986386786037736 -0.339032197115789 -0.352449631363265 -0.492611667924528
